"date","itemsPerday"
2013-01-01,1963
2013-01-02,8266
2013-01-03,7466
2013-01-04,6639
2013-01-05,6374
2013-01-06,5880
2013-01-07,5016
2013-01-08,4818
2013-01-09,3186
2013-01-10,3184
2013-01-11,3855
2013-01-12,5459
2013-01-13,4513
2013-01-14,2619
2013-01-15,3169
2013-01-16,3045
2013-01-17,3102
2013-01-18,3718
2013-01-19,6050
2013-01-20,5133
2013-01-21,2662
2013-01-22,2785
2013-01-23,2753
2013-01-24,3028
2013-01-25,4258
2013-01-26,6291
2013-01-27,5289
2013-01-28,2864
2013-01-29,2778
2013-01-30,3056
2013-01-31,3002
2013-02-01,3839
2013-02-02,6161
2013-02-03,5080
2013-02-04,2364
2013-02-05,3314
2013-02-06,2986
2013-02-07,3766
2013-02-08,4442
2013-02-09,6806
2013-02-10,5533
2013-02-11,3432
2013-02-12,3648
2013-02-13,3790
2013-02-14,4050
2013-02-15,4277
2013-02-16,6683
2013-02-17,5893
2013-02-18,3225
2013-02-19,4246
2013-02-20,4092
2013-02-21,5312
2013-02-22,8043
2013-02-23,9490
2013-02-24,6163
2013-02-25,3054
2013-02-26,2994
2013-02-27,3042
2013-02-28,2949
2013-03-01,3862
2013-03-02,6505
2013-03-03,5506
2013-03-04,3075
2013-03-05,4447
2013-03-06,4351
2013-03-07,6786
2013-03-08,7604
2013-03-09,6403
2013-03-10,5095
2013-03-11,2874
2013-03-12,4312
2013-03-13,4027
2013-03-14,3657
2013-03-15,4904
2013-03-16,7363
2013-03-17,5625
2013-03-18,3127
2013-03-19,3138
2013-03-20,3277
2013-03-21,3504
2013-03-22,4675
2013-03-23,7246
2013-03-24,5231
2013-03-25,3211
2013-03-26,3940
2013-03-27,3689
2013-03-28,3788
2013-03-29,4488
2013-03-30,6635
2013-03-31,5389
2013-04-01,2590
2013-04-02,2558
2013-04-03,2601
2013-04-04,2760
2013-04-05,4046
2013-04-06,6305
2013-04-07,5148
2013-04-08,2524
2013-04-09,2799
2013-04-10,2851
2013-04-11,3327
2013-04-12,3955
2013-04-13,6038
2013-04-14,4505
2013-04-15,2554
2013-04-16,2530
2013-04-17,2470
2013-04-18,2744
2013-04-19,3927
2013-04-20,5659
2013-04-21,4571
2013-04-22,2515
2013-04-23,2485
2013-04-24,2728
2013-04-25,3263
2013-04-26,3657
2013-04-27,5258
2013-04-28,4609
2013-04-29,2791
2013-04-30,3920
2013-05-01,4883
2013-05-02,4315
2013-05-03,3928
2013-05-04,3634
2013-05-05,3402
2013-05-06,2618
2013-05-07,2752
2013-05-08,3471
2013-05-09,3061
2013-05-10,3451
2013-05-11,3530
2013-05-12,3316
2013-05-13,2087
2013-05-14,1978
2013-05-15,2522
2013-05-16,2375
2013-05-17,4594
2013-05-18,5220
2013-05-19,4301
2013-05-20,2728
2013-05-21,2792
2013-05-22,2877
2013-05-23,3060
2013-05-24,4074
2013-05-25,5292
2013-05-26,4763
2013-05-27,2679
2013-05-28,3008
2013-05-29,2963
2013-05-30,3523
2013-05-31,4129
2013-06-01,5746
2013-06-02,4490
2013-06-03,3261
2013-06-04,3269
2013-06-05,3432
2013-06-06,3787
2013-06-07,5147
2013-06-08,5658
2013-06-09,4581
2013-06-10,3387
2013-06-11,3964
2013-06-12,4900
2013-06-13,3423
2013-06-14,5841
2013-06-15,5311
2013-06-16,4397
2013-06-17,3451
2013-06-18,3395
2013-06-19,3327
2013-06-20,3919
2013-06-21,4442
2013-06-22,5266
2013-06-23,4439
2013-06-24,3184
2013-06-25,3581
2013-06-26,3200
2013-06-27,3765
2013-06-28,4008
2013-06-29,4985
2013-06-30,4229
2013-07-01,3421
2013-07-02,3392
2013-07-03,3451
2013-07-04,3640
2013-07-05,3931
2013-07-06,4400
2013-07-07,4676
2013-07-08,3150
2013-07-09,3253
2013-07-10,3443
2013-07-11,3576
2013-07-12,4171
2013-07-13,4806
2013-07-14,4275
2013-07-15,3171
2013-07-16,3538
2013-07-17,3576
2013-07-18,3302
2013-07-19,3698
2013-07-20,4946
2013-07-21,4560
2013-07-22,3367
2013-07-23,3468
2013-07-24,3425
2013-07-25,3446
2013-07-26,3739
2013-07-27,5243
2013-07-28,4118
2013-07-29,3252
2013-07-30,3511
2013-07-31,3419
2013-08-01,3230
2013-08-02,4406
2013-08-03,5295
2013-08-04,4313
2013-08-05,3439
2013-08-06,3255
2013-08-07,3683
2013-08-08,3766
2013-08-09,3782
2013-08-10,4524
2013-08-11,3856
2013-08-12,3183
2013-08-13,3356
2013-08-14,3230
2013-08-15,3660
2013-08-16,3920
2013-08-17,4909
2013-08-18,4098
2013-08-19,3487
2013-08-20,3466
2013-08-21,3790
2013-08-22,3838
2013-08-23,4272
2013-08-24,5679
2013-08-25,5104
2013-08-26,3644
2013-08-27,3602
2013-08-28,4082
2013-08-29,4559
2013-08-30,4850
2013-08-31,5603
2013-09-01,5453
2013-09-02,4558
2013-09-03,4794
2013-09-04,3435
2013-09-05,3516
2013-09-06,4367
2013-09-07,6200
2013-09-08,5073
2013-09-09,2839
2013-09-10,3112
2013-09-11,3335
2013-09-12,3177
2013-09-13,3884
2013-09-14,5909
2013-09-15,5022
2013-09-16,2922
2013-09-17,6870
2013-09-18,5630
2013-09-19,3750
2013-09-20,5060
2013-09-21,6706
2013-09-22,4946
2013-09-23,2852
2013-09-24,3997
2013-09-25,3378
2013-09-26,4138
2013-09-27,4251
2013-09-28,6600
2013-09-29,5080
2013-09-30,2916
2013-11-01,963
2013-11-02,1617
2013-11-03,1765
2013-11-04,1143
2013-11-05,949
2013-11-06,793
2013-11-07,758
2013-11-08,986
2013-11-09,1562
2013-11-10,1356
2013-11-11,542
2013-11-12,478
2013-11-13,505
2013-11-14,594
2013-11-15,941
2013-11-16,1498
2013-11-17,1297
2013-11-18,517
2013-11-19,659
2013-11-20,603
2013-11-21,886
2013-11-22,1152
2013-11-23,1690
2013-11-24,1440
2013-11-25,510
2013-11-26,554
2013-11-27,493
2013-11-28,589
2013-11-29,1499
2013-11-30,1530
